ID,indoors,created_at,session_id,device_id,room,floor,building,connected_ap,rssi_strength,is_center,gps_alt,gps_longitude,gps_latitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_sea_level,baro_pressure,baro_relative_altitude,env_context,env_mean_bldg_floors,env_activity,city_name,country_name,magnet_x_mt,magnet_y_mt,magnet_z_mt,magnet_total
1136,1,2021-02-06 15:08:10,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,13,27,-28,42,
1137,1,2021-02-06 15:08:11,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,20,31,-25,44,
1138,1,2021-02-06 15:08:12,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-52,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,3,13,-10,17,
1139,1,2021-02-06 15:08:13,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,25,10,-9,28,
1140,1,2021-02-06 15:08:14,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-49,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,41,-10,-30,52,
1141,1,2021-02-06 15:08:15,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,2,-6,-10,12,
1142,1,2021-02-06 15:08:16,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,8,-7,-16,20,
1143,1,2021-02-06 15:08:17,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-49,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,25,-6,-21,33,
1144,1,2021-02-06 15:08:18,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,30,-6,-27,41,
1145,1,2021-02-06 15:08:19,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,29,-6,-28,41,
1146,1,2021-02-06 15:08:20,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-51,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,25,-3,-32,41,
1147,1,2021-02-06 15:08:21,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-52,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,38,2,-36,52,
1148,1,2021-02-06 15:08:22,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-54,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,43,8,-36,57,
1149,1,2021-02-06 15:08:23,2021-02-06 15:07:53,zeroltevzw-SM-G925V,608,6,Lewisohn,d8:c7:c8:42:7f:d1,-50,0,46,-73,40,-1,12,0,0,1017,1007,81,GS,0-2,activity_still,New York,United States,43,10,-36,57,
